10000 140
20000 316
30000 434
40000 545
50000 690
60000 748
70000 854
80000 1022
90000 1107
100000 1195
110000 1350
120000 1507
130000 1551
140000 1691
150000 1777
160000 1985
170000 4106
180000 2185
190000 2228
200000 2365
210000 2492
220000 3908
230000 2823
240000 2918
250000 3654
260000 3211
270000 3181
280000 3381
290000 3546
300000 3638
310000 3643
320000 3959
330000 3947
340000 4106
350000 4142
360000 5580
370000 4350
380000 5148
390000 7468
400000 5961
410000 6312
420000 6687
430000 5175
440000 5135
450000 6860
460000 6416
470000 5663
480000 5622
490000 5943
500000 6473
510000 6190
520000 6979
530000 6218
540000 6663
550000 6695
560000 6863
570000 6873
580000 9732
590000 10305
600000 11076
610000 10414
620000 11941
630000 11370
640000 11829
650000 11892
660000 13415
670000 12684
680000 12003
690000 11944
700000 12481
710000 19352
720000 13838
730000 13295
740000 13145
750000 13538
760000 15994
770000 15216
780000 14092
790000 14540
800000 14623
810000 14061
820000 14251
830000 14913
840000 14854
850000 15261
860000 14915
870000 15167
880000 15700
890000 16523
900000 16064
910000 16688
920000 16497
930000 16874
940000 17610
950000 17571
960000 17031
970000 15905
980000 21032
990000 18174
1000000 18515
