10000 133
20000 307
30000 388
40000 551
50000 683
60000 766
70000 884
80000 958
90000 1152
100000 1415
110000 1485
120000 1429
130000 1678
140000 1684
150000 1764
160000 1884
170000 2050
180000 2176
190000 3346
200000 2388
210000 2493
220000 2791
230000 2774
240000 2805
250000 4048
260000 3032
270000 3152
280000 3404
290000 6763
300000 3508
310000 5831
320000 3725
330000 5161
340000 5546
350000 4093
360000 4219
370000 4384
380000 10021
390000 5481
400000 5369
410000 4735
420000 4881
430000 6553
440000 5235
450000 5445
460000 7963
470000 6289
480000 12325
490000 11735
500000 6907
510000 6559
520000 6027
530000 8671
540000 6281
550000 10177
560000 6649
570000 10326
580000 8405
590000 11237
600000 10575
610000 11655
620000 13711
630000 11118
640000 11209
650000 11491
660000 11537
670000 12367
680000 12015
690000 13467
700000 13774
710000 14836
720000 12571
730000 13936
740000 14373
750000 13231
760000 13604
770000 13742
780000 14532
790000 14802
800000 16043
810000 15286
820000 16492
830000 20159
840000 15686
850000 16638
860000 17333
870000 19235
880000 16877
890000 17808
900000 19076
910000 18593
920000 23702
930000 16031
940000 19725
950000 24614
960000 18416
970000 23625
980000 17615
990000 17962
1000000 19153
